Model,Name,MAC address,Public IP,Uplink IP (Port 1),Uplink IP (Port 2),Tags,Network,Serial number,Clients,Usage,Contacted at,Configuration status
MS130-8P,bc:33:40:c0:cf:3a,bc:33:40:c0:cf:3a,144.139.1.221,192.168.128.3,,,NSW-LLD-Toronto,Q4CB-UFDA-RF3X,16,18.54 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:05:a0,bc:33:40:c1:05:a0,101.178.218.133,192.168.128.2,,,NSW-LLD-Tamworth No Use,Q4CB-NC5S-C9BX,0,None,13 months ago,Not up to date
MS130-8P,bc:33:40:c1:0a:d3,bc:33:40:c1:0a:d3,101.187.15.218,192.168.128.2,,,VIC-LLD-Belmont,Q4CB-RAGC-VGSL,9,5.72 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:0d:88,bc:33:40:c1:0d:88,110.142.87.91,192.168.128.2,,,NSW-LLD-Armidale,Q4CB-J367-R2JY,14,13.36 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:0d:f6,bc:33:40:c1:0d:f6,165.228.184.115,192.168.128.2,,,VIC-LLD-Portland,Q4CB-RQ4D-QBH9,7,5.95 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:17:33,bc:33:40:c1:17:33,110.174.32.182,192.168.128.6,,,NSW-Wyoming,Q4CB-LF62-VT2B,39,46.54 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:1b:f8,bc:33:40:c1:1b:f8,203.45.75.235,192.168.15.5,,,VIC-LLD-Warrnambool Shop,Q4CB-QP5D-SGNU,0,None,6 months ago,Not up to date
MS130-8P,bc:33:40:c1:1f:52,bc:33:40:c1:1f:52,165.228.16.224,192.168.128.2,,,VIC-LLD-Warrnambool Warehouse,Q4CB-ECB2-V9WC,10,2.77 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:28:4d,bc:33:40:c1:28:4d,165.228.34.134,192.168.128.3,,,VIC-LLD-Newcomb,Q4CB-LM9X-FRNW,12,4.23 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:38:80,bc:33:40:c1:38:80,14.200.94.30,10.110.99.28,, recently-added ,NSW-Lismore,Q4CB-VG8R-AUPW,1,74.3 MB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:39:d5,bc:33:40:c1:39:d5,110.142.97.133,192.168.128.2,,,VIC-LLD-Camperdown,Q4CB-PAGZ-B6GZ,10,4.92 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:3d:a8,bc:33:40:c1:3d:a8,165.228.139.46,192.168.128.3,,,VIC-LLD-Breakwater,Q4CB-JD3F-2365,24,20.35 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:45:d2,bc:33:40:c1:45:d2,110.142.110.63,192.168.128.3,,,VIC-LLD-Drysdale,Q4CB-NR6X-6HRC,15,5.18 GB,2 minutes ago,Up to date
